Zone,Channel Name,Bandwidth,Power,RX Freq,TX Freq,CTCSS Decode,CTCSS Encode,TX Prohibit
A/APRS,APRS Raw 144.39,25K,High,144.39,144.39,Off,Off,Off
A/APRS,APRS VA 100,25K,High,144.39,144.39,Off,100,Off
